jetzt, nun; agora
später, gleich; logo
bis; até
heute; hoje
morgen; amanhã
gestern; ontem
übermorgen; depois de amanhã
danach, anschliessend; depois
vorgestern; anteontem
Vormittag; a manhã
am Vormittag; de manhã
Nachmittag; a tarde
spaet; tarde
am Nachmittag; á tarde
Nacht; a noite
Tag; o dia
Montag; a segunda-feira
Dienstag; a terça-feira
Mittwoch; a quarte-feira
Donnerstag; a quinta-feira
Freitag; a sexta-feira
Samstag; o sábado
Sonntag; o domingo

Januar;     o janeiro
Februar;    o fevereiro
März;       o março
April;      o abril
Mai;        o maio
Juni;       o junho
Juli;       o julho
August;     o agosto
September;  o setembro
Oktober;    o outubro
November;   o novembro
Dezember;   o dezembro
